ukraine	geolocation	69024
russia	geolocation	26764
putin	public	14090
russian	identity	11474
ukrainian	identity	7562
mariupol	geolocation	7082
ukrainerussiawar	event	8316
kyiv	media	6192
standwithukraine	standpoint	7404
zelensky	public	9094
nestle	event	4981
stpatricksday	time	4848
nato	government	4620
nft	economy	5750
breaking	media	3842
ukrainewar	event	3312
usa	geolocation	3100
flagnetwork	economy	2896
ukraineunderattack	standpoint	2884
stoprussia	standpoint	2432
bitcoin	economy	2415
mykolaiv	geolocation	2376
bundestag	government	2370
ireland	geolocation	2314
putinwarcriminal	standpoint	2312
biden	public	2300
kherson	geolocation	2252
stopthewar	standpoint	2228
stopwar	standpoint	2170
tigrayfamine	event	2087
freeukraine	standpoint	1966
stopputin	standpoint	1934
russie	geolocation	1882
us	geolocation	1872
rusia	geolocation	1862
ido	other	1848
kharkiv	geolocation	1832
kiev	media	1804
moldova	geolocation	1804
tigray	geolocation	1662
russiaukrainewar	event	1632
weareallukrainians	standpoint	1508
cryptocurrency	economy	1504
anonymous	identity	1500
tigraygenocide	event	1489
support	civil	1464
zakharova	public	1456
gb	geolocation	1406
china	geolocation	1380
stoptigraygenocide	standpoint	1343
war	event	1298
crypto	economy	1288
btc	economy	1180
putinisawarcriminal	standpoint	1132
boycottnestle	event	1114
firefighters	identity	1080
closetheskyoverukraine	standpoint	1038
putinswar	event	1032
whitelist	event	1012
russland	geolocation	1008
chernihiv	geolocation	988
mcispo	other	978
muntot	other	978
europe	geolocation	924
belarus	geolocation	900
russianukrainianwar	event	896
nowar	standpoint	896
news	media	878
ukraina	geolocation	5282
putinhitler	standpoint	836
syrian	geolocation	820
minsk	geolocation	806
germany	geolocation	790
eu	government	772
kremlin	geolocation	768
belarusian	identity	762
poutine	event	730
actnow	time	728
polish	identity	728
stopputinnow	time	706
macron	public	702
sbu	government	696
donbass	geolocation	690
azov	geolocation	688
melitopol	geolocation	678
poland	geolocation	676
dropfoodnotbomb	event	670
manmadefamine	event	662
allowhumanitarianaid	standpoint	650
moscow	geolocation	642
giveaway	standpoint	642
reconnecttigray	event	636
uk	government	630
slavaukraini	civil	616
marioupol	geolocation	582
odessa	geolocation	578
kyivdiary	media	570
botox	event	560
supportukraine	civil	558
abbvie	media	558
lavrov	public	552
nftcollection	economy	540
un	government	536
lviv	geolocation	526
dimaio	public	508
german	identity	502
johnsonout52	public	490
istandwithukraine	standpoint	488
peace	standpoint	486
uae	geolocation	484
refugees	identity	470
ukrainekrieg	event	464
morningjoe	media	464
foxnews	media	460
ukrainecrisis	event	458
planesforukraine	event	456
trump	public	456
russianarmy	identity	450
warcrimes	standpoint	1298
guerra	event	440
update	media	438
ue	government	430
warinukraine	event	424
sudradio	media	424
nftart	economy	424
smartnews	media	408
syria	government	406
covid19	event	402
stoprussianaggression	standpoint	402
donetsk	geolocation	400
israel	geolocation	398
odesa	geolocation	390
luhansk	geolocation	388
myanmar	geolocation	386
deepfake	other	384
russiaukraineconflict	event	378
fkptn	standpoint	378
france	government	376
goprussianassets	government	374
russiainvadedukraine	event	372
armsexport	government	370
coarm	identity	366
afp	media	362
icj	government	360
india	geolocation	358
putinwarcrimes	standpoint	350
sumy	geolocation	350
stopwarinukraine	standpoint	346
tbt	other	338
uzbekistan	geolocation	336
eeuu	geolocation	330
romania	geolocation	328
closeuaskynow	time	328
ukraineinvasion	standpoint	324
slovakia	geolocation	322
